smiles,ic50_nm,pic50,target,chembl_id,assay_id,assay_type
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,7.39,EGFR,CHEMBL68920,CHEMBL674637,B
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,170.0,6.77,EGFR,CHEMBL69960,CHEMBL674637,B
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,9300.0,5.03,EGFR,CHEMBL137635,CHEMBL677833,B
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],96000.0,4.02,EGFR,CHEMBL77085,CHEMBL674643,B
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5310.0,5.28,EGFR,CHEMBL443268,CHEMBL674637,B
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,125.0,6.9,EGFR,CHEMBL76589,CHEMBL674643,B
N#CC(C#N)=Cc1ccc(O)c(O)c1,35000.0,4.46,EGFR,CHEMBL76904,CHEMBL674643,B
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,0.45,9.35,EGFR,CHEMBL304271,CHEMBL674637,B
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,10000.0,5.0,EGFR,CHEMBL296407,CHEMBL674643,B
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,60000.0,4.22,EGFR,CHEMBL309625,CHEMBL674643,B
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,3000.0,5.52,EGFR,CHEMBL310798,CHEMBL674643,B
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,8000.0,5.1,EGFR,CHEMBL135592,CHEMBL677833,B
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,14.0,7.85,EGFR,CHEMBL136491,CHEMBL677833,B
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,6.0,EGFR,CHEMBL336113,CHEMBL677833,B
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,100.0,7.0,EGFR,CHEMBL133024,CHEMBL677833,B
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,13350.0,4.88,EGFR,CHEMBL344652,CHEMBL677833,B
O=CN/C=C/c1cc(O)ccc1O,14000.0,4.85,EGFR,CHEMBL47986,CHEMBL674643,B
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,238.0,6.62,EGFR,CHEMBL138125,CHEMBL677833,B
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,64.0,7.19,EGFR,CHEMBL137364,CHEMBL677833,B
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,22.0,7.66,EGFR,CHEMBL302552,CHEMBL674637,B
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,13500.0,4.87,EGFR,CHEMBL309598,CHEMBL674643,B
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,4.5,8.35,EGFR,CHEMBL67057,CHEMBL674637,B
Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0,6.29,EGFR,CHEMBL332096,CHEMBL677833,B
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,200.0,6.7,EGFR,CHEMBL432903,CHEMBL674637,B
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,210.0,6.68,EGFR,CHEMBL69964,CHEMBL674637,B
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,1410.0,5.85,EGFR,CHEMBL65848,CHEMBL674637,B
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,4.33,EGFR,CHEMBL76985,CHEMBL674643,B
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,8.19,EGFR,CHEMBL69629,CHEMBL674637,B
CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,5.08,EGFR,CHEMBL136492,CHEMBL677833,B
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,13.0,7.89,EGFR,CHEMBL66570,CHEMBL674637,B
N#CC(C#N)=Cc1ccc(C=O)cc1,60000.0,4.22,EGFR,CHEMBL311119,CHEMBL674643,B
N#CC(C#N)=Cc1cc(O)cc(O)c1,37000.0,4.43,EGFR,CHEMBL76905,CHEMBL674643,B
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,29.0,7.54,EGFR,CHEMBL305194,CHEMBL674637,B
COc1cc(C=C(C#N)C#N)cc(O)c1O,6000.0,5.22,EGFR,CHEMBL80155,CHEMBL674643,B
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,6.7,EGFR,CHEMBL343352,CHEMBL677833,B
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,7.36,EGFR,CHEMBL52765,CHEMBL677833,B
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,75000.0,4.12,EGFR,CHEMBL76642,CHEMBL674643,B
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,4.7,8.33,EGFR,CHEMBL308645,CHEMBL674637,B
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,1.8,8.74,EGFR,CHEMBL67003,CHEMBL674637,B
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.0,7.96,EGFR,CHEMBL134312,CHEMBL677833,B
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000.0,4.26,EGFR,CHEMBL77243,CHEMBL674643,B
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,1200.0,5.92,EGFR,CHEMBL80745,CHEMBL674643,B
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2.8,8.55,EGFR,CHEMBL305246,CHEMBL674637,B
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,18.0,7.75,EGFR,CHEMBL69966,CHEMBL674637,B
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,3200.0,5.5,EGFR,CHEMBL47940,CHEMBL679674,B
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1.2,8.92,EGFR,CHEMBL69358,CHEMBL674637,B
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,200.0,6.7,EGFR,CHEMBL137189,CHEMBL677833,B
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,39.0,7.41,EGFR,CHEMBL137617,CHEMBL677833,B
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,482.0,6.32,EGFR,CHEMBL137027,CHEMBL677833,B
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,800.0,6.1,EGFR,CHEMBL78257,CHEMBL674643,B
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,2500.0,5.6,EGFR,CHEMBL309334,CHEMBL674643,B
