smiles,target
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.39
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.77
CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.03
N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.02
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.28
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.9
N#CC(C#N)=Cc1ccc(O)c(O)c1,4.46
CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.35
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.22
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.52
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,5.1
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.85
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,6.0
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.0
CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,4.88
O=CN/C=C/c1cc(O)ccc1O,4.85
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,6.62
Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,7.19
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,7.66
N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,4.87
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.35
Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.29
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,6.7
Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,6.68
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,5.85
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,4.33
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.19
CN(c1ccccc1)c1ncnc2ccc(N)cc12,5.08
CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,7.89
N#CC(C#N)=Cc1ccc(C=O)cc1,4.22
N#CC(C#N)=Cc1cc(O)cc(O)c1,4.43
Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,7.54
COc1cc(C=C(C#N)C#N)cc(O)c1O,5.22
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,6.7
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.36
N#C/C(=C/c1cc(O)ccc1O)C(=O)O,4.12
Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.33
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,8.74
CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.96
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,4.26
COc1cc(/C=C(\C#N)C(N)=C(C#N)C#N)cc(O)c1O,5.92
Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.55
C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,7.75
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,5.5
CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,8.92
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,6.7
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.41
CN(C)/N=N/c1ccc2ncnc(NCc3ccccc3)c2c1,6.32
N#CC(C#N)=C(N)/C(C#N)=C/c1cc(O)c(O)c(O)c1,6.1
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.6
Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.39
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,8.23
CN(C)CC/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.42
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,6.47
Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccc4)cc23)c1,7.6
N#C/C(=C\c1ccc(O)c(O)c1)C(N)=S,5.62
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,8.96
Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,6.75
