compound_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,nct_id,trial_title,enrollment_count,start_date,completion_date,data_source,compound_type,study_type,primary_phase,overall_status,lead_sponsor,sponsor_class,collected_date,efficacy_score,safety_score,success_probability
TRIAL_00001,Ropivacaine,"['Ropivacaine', 'Normal saline']",CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,CHEMBL1077896,success,274.41,3.51,1.0,2.0,4.0,32.34,,20.0,0,,,,4,TERMINATED,,NCT03691935,Erector Spinae Plane Block (ESPB): in Patients Undergoing Surgery Through a Flank or Anterior Subcostal Incision.,20.0,2018-09-28,2024-02-02,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,TERMINATED,Milton S. Hershey Medical Center,OTHER,2025-09-01T15:24:33.901979,0.7,0.8999999999999999,0.2
TRIAL_00002,Acoramidis,['Acoramidis'],Cc1n[nH]c(C)c1CCCOc1cc(C(=O)O)ccc1F.Cl,CHEMBL4650226,success,328.77,2.88,2.0,3.0,6.0,75.21,,21.0,0,,,,3,WITHDRAWN,,NCT04882735,Efficacy and Safety of Acoramidis (AG10) in Subjects with Transthyretin Amyloid Polyneurophathy (ATTRibute-PN),0.0,2021-09-08,2026-10,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE3,WITHDRAWN,"Eidos Therapeutics, a BridgeBio company",INDUSTRY,2025-09-01T15:24:33.902123,0.65,0.825,0.2
TRIAL_00003,T80/A5 mg FDC tablet,"['T80/A5 mg FDC tablet', 'T80/A5 mg FDC tablet', 'H12.5 mg tablet', 'T80/A5/H12.5 ng FDC tablet', 'H12.5 mf tablet', 'T80/A5/H12.5 mg FDC tablet']",CC(C)=CCc1c(O)ccc2c1O[C@H](c1ccc3c(c1)C=CC(C)(C)O3)CC2=O,CHEMBL2437376,success,390.48,5.79,1.0,4.0,3.0,55.76,,29.0,0,,,,1,COMPLETED,,NCT02121535,Bioequivalence Study of Telmisartan Between T80/A5/H12.5 mg FDC Tablet and T80/A5 mg Tab and H12.5 mg Tab Concomitant Use,72.0,2014-04,2014-08,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,COMPLETED,Boehringer Ingelheim,INDUSTRY,2025-09-01T15:24:33.902197,0.8500000000000001,0.6749999999999999,0.3
TRIAL_00004,Nintedanib,"['Nintedanib', 'Pirfenidone']",CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,CHEMBL3039504,success,649.77,3.62,2.0,7.0,7.0,94.22,,40.0,0,,,,,ACTIVE_NOT_RECRUITING,,NCT06485635,Real-life-persistence to Antifibrotic Treatments,10646.0,2024-10-16,2025-09-01,clinical_trial_chembl,Small molecule,OBSERVATIONAL,,ACTIVE_NOT_RECRUITING,Boehringer Ingelheim,INDUSTRY,2025-09-01T15:24:33.902256,0.5,0.6,0.2
TRIAL_00005,isosulfan blue based lymphatic mapping,['isosulfan blue based lymphatic mapping'],CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)[O-])cc1.[Na+],CHEMBL1200859,success,566.68,4.10,1.0,6.0,9.0,117.82,,37.0,0,,,,1,TERMINATED,,NCT00932035,Axillary Lymph Node Preservation Surgery in Reducing Lymphedema in Patients With Breast Cancer,39.0,2009-06,2014-05,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE1,TERMINATED,City of Hope Medical Center,OTHER,2025-09-01T15:24:33.902307,0.55,0.6749999999999999,0.2
TRIAL_00006,Chloroquine,['Chloroquine'],CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CHEMBL76,success,319.88,4.81,1.0,3.0,8.0,28.16,,22.0,0,,,,4,COMPLETED,,NCT01019408,Extended-dose Chloroquine (ECQ) for Resistant Falciparum Malaria Among Afghan Refugees in Pakistan,163.0,1993-11,1995-01,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE4,COMPLETED,London School of Hygiene and Tropical Medicine,OTHER,2025-09-01T15:24:33.902359,1.0,0.8999999999999999,0.9
TRIAL_00007,Acetaminophen/APAP,['Acetaminophen/APAP'],CC(=O)Nc1ccc(O)cc1,CHEMBL112,success,151.16,1.35,2.0,2.0,1.0,49.33,,11.0,0,,,,2,UNKNOWN,,NCT01328808,Metabolism and Toxicity of Acetaminophen,31.0,2011-10,2022-12,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE2,UNKNOWN,John van den Anker,OTHER,2025-09-01T15:24:33.902408,0.6,0.75,0.2
TRIAL_00008,buprenorphine/naloxone,['buprenorphine/naloxone'],C=CCN1CC[C@@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@@H]1C5,CHEMBL3249799,success,327.38,1.30,2.0,5.0,2.0,70.00,,24.0,0,,,,,COMPLETED,,NCT00725608,Acceptability and Safety of Switching From Subutex or Other Opioid Drug Dependence Therapy to Suboxone (NIS P05444),339.0,2008-05,2011-04,clinical_trial_chembl,Small molecule,OBSERVATIONAL,,COMPLETED,Indivior Inc.,INDUSTRY,2025-09-01T15:24:33.902468,0.8,0.6,0.2
TRIAL_00009,Buprenorphine,['Buprenorphine'],CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,CHEMBL2368861,success,504.11,4.41,2.0,5.0,4.0,62.16,,34.0,0,,,,2,COMPLETED,,NCT00000208,Methadone/Buprenorphine Cross-Over Study - 4,0.0,1992-02,,clinical_trial_chembl,Small molecule,INTERVENTIONAL,PHASE2,COMPLETED,National Institute on Drug Abuse (NIDA),NIH,2025-09-01T15:24:33.902543,0.9,0.75,0.5
TRIAL_00010,Diroximel fumarate (DRF),"['Diroximel fumarate (DRF)', 'Placebo']",COC(=O)/C=C/C(=O)OCCN1C(=O)CCC1=O,CHEMBL3989944,success,255.23,-0.59,0.0,6.0,5.0,89.98,,18.0,0,,,,,RECRUITING,,NCT06957808,Investigating the Effect of Diroximel Fumarate on Glutathione in Schizophrenia,30.0,2025-01-10,2026-06,clinical_trial_chembl,Small molecule,INTERVENTIONAL,,RECRUITING,King's College London,OTHER,2025-09-01T15:24:33.902635,0.5,0.6,0.2
