compound_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,data_source,compound_type,study_type,primary_phase,overall_status,lead_sponsor,sponsor_class,collected_date,efficacy_score,safety_score,success_probability
CHEMBL_CHEMBL1371200,CANRENOATE POTASSIUM,['CANRENOATE POTASSIUM'],C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)[O-].[K+],CHEMBL1371200,success,396.57,3.89,2.0,3.0,3.0,74.60,0.0,26.0,0,,,4.48,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.350430,,,
CHEMBL_CHEMBL379845,METHYL NICOTINATE,['METHYL NICOTINATE'],COC(=O)c1cccnc1,CHEMBL379845,success,137.14,0.87,0.0,3.0,1.0,39.19,1.0,10.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.413157,,,
CHEMBL_CHEMBL259571,TAPINAROF,['TAPINAROF'],CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,CHEMBL259571,success,254.33,4.39,2.0,2.0,3.0,40.46,2.0,19.0,0,,,9.19,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.413773,,,
CHEMBL_CHEMBL1641,HYDROCORTISONE PHOSPHORIC ACID,['HYDROCORTISONE PHOSPHORIC ACID'],C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)(O)O,CHEMBL1641,success,442.45,1.90,4.0,6.0,4.0,141.36,0.0,30.0,0,,,1.18,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.414264,,,
CHEMBL_CHEMBL1184360,DIAMTHAZOLE,['DIAMTHAZOLE'],CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,CHEMBL1184360,success,293.44,3.08,0.0,5.0,7.0,28.60,2.0,20.0,0,,,,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:39.415108,,,
CHEMBL_CHEMBL428,TROVAFLOXACIN,['TROVAFLOXACIN'],N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12,CHEMBL428,success,416.36,1.89,2.0,6.0,3.0,101.45,3.0,30.0,0,,,5.22,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.674187,,,
CHEMBL_CHEMBL620,CLIDINIUM,['CLIDINIUM'],C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,CHEMBL620,success,352.45,2.70,1.0,3.0,4.0,46.53,2.0,26.0,0,,,11.05,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.675246,,,
CHEMBL_CHEMBL1909282,FENCLOZIC ACID,['FENCLOZIC ACID'],O=C(O)Cc1csc(-c2ccc(Cl)cc2)n1,CHEMBL1909282,success,253.71,3.09,1.0,3.0,3.0,50.19,2.0,16.0,0,,,4.25,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.351087,,,
CHEMBL_CHEMBL1201109,DESONIDE,['DESONIDE'],CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CHEMBL1201109,success,416.51,2.33,2.0,6.0,2.0,93.06,0.0,30.0,0,,,13.75,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:44.349386,,,
CHEMBL_CHEMBL957,BOSENTAN,['BOSENTAN'],COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,CHEMBL957,success,551.63,4.20,2.0,10.0,10.0,145.65,4.0,39.0,0,,,5.80,4.0,Phase_4.0,,chembl_approved_drugs,Small molecule,PHASE_4.0,PHASE4.0,PHASE4.0,ChEMBL_Database,DATABASE,2025-09-01T15:36:34.676570,,,
