nct_id,title,primary_drug,all_drug_names,primary_condition,all_conditions,phases,primary_phase,study_type,allocation,intervention_model,masking,primary_purpose,enrollment_count,enrollment_type,eligibility_criteria,min_age,max_age,sex,healthy_volunteers,primary_outcomes,secondary_outcomes,start_date,completion_date,first_posted_date,overall_status,why_stopped,has_results,lead_sponsor,sponsor_class,collaborators,locations,collected_date,api_version
NCT03691935,Erector Spinae Plane Block (ESPB): in Patients Undergoing Surgery Through a Flank or Anterior Subcostal Incision.,Ropivacaine,"['Ropivacaine', 'Normal saline']",,[],['PHASE4'],PHASE4,INTERVENTIONAL,RANDOMIZED,PARALLEL,,TREATMENT,20,ACTUAL,"Inclusion Criteria:

* Consenting adults age 18-85
* American Society of Anesthesiologists (ASA) Physical Status classification I to III
* Planned to be hospitalized for at least 24 hours post-op
* Cognitive capacity to use the visual analogic scale (VAS) and complete the patient satisfaction survey

Exclusion Criteria:

* Patient refusal
* Patients with allergies to local anesthetics or opiates (hydromorphone or oxycodone)
* Scoliosis
* Patients with chronic pain syndromes or who are on chronic pain medications/other neurologic medication of more than 3 months or whom have neuromodulators/stimulators
* Concurrent surgeries requiring additional incisions on the body",18 Years,85 Years,ALL,False,"[{'measure': 'Pain Scores Using the Visual Analogue Pain Scale From Zero Pain to Level Ten Pain', 'description': 'Data will be collected via the electronic medical record and begin following patient randomization. The Visual Analogue Scale pain scales will be administered and collected on Post Operative Days 1, 2 and 3. Minimum value = 0 No Pain, Maximum value = 10 Worst possible, unbearable, excruciating pain', 'timeFrame': 'Aggregate pain scores for average length of hospital stay which is 3 days'}]",[],2018-09-28,2024-02-02,2018-10-02,TERMINATED,Slow enrollment related to global pandemic and changes to surgical practice.,False,Milton S. Hershey Medical Center,OTHER,[],"[{'facility': 'Milton S Hershey Medical Center', 'city': 'Hershey', 'state': 'Pennsylvania', 'zip': '17033', 'country': 'United States', 'geoPoint': {'lat': 40.28592, 'lon': -76.65025}}]",2025-09-01T07:01:23.838879,v2
NCT05099835,Ultrasound-Guided Stellate Ganglion Block With Botulinum,Botox,"['Botox', 'triamcinolonacetonide']",,[],['NA'],NA,INTERVENTIONAL,RANDOMIZED,PARALLEL,,TREATMENT,60,ACTUAL,"Inclusion Criteria:

* Diagnosed by clinical and neurological assessment as one-sided idiopathic facial palsy
* Age 18 to 60 •-ASA i-II

Exclusion Criteria:

* Exclusion Criteria:

  * diabetic
  * coagulation dysfunction
  * mental or cognitive dysfunclion
  * allergy to injected medication",18 Years,60 Years,ALL,False,"[{'measure': 'Change from Baseline House-Brackmann', 'description': 'Change from Baseline House-Brackmann', 'timeFrame': ': Baseline ,change from baseline House-Brackmann at 7th day,one month,two month, three month'}]",[],2021-11-01,2022-07-01,2021-10-29,COMPLETED,,False,Assiut University,OTHER,[],"[{'facility': 'Emad Zarief Kamel Said', 'city': 'Asyut', 'zip': '71111', 'country': 'Egypt', 'geoPoint': {'lat': 27.18096, 'lon': 31.18368}}]",2025-09-01T07:01:23.838932,v2
NCT03535935,"Efficacy, Safety and Response Predictors of Adjuvant Astragalus Therapy for Diabetic Kidney Disease",Astragalus Powder,['Astragalus Powder'],,[],"['PHASE2', 'PHASE3']",PHASE2,INTERVENTIONAL,RANDOMIZED,PARALLEL,,TREATMENT,118,ESTIMATED,"Inclusion Criteria:

* diagnosed with type 2 diabetes for at least 5 years;
* with an estimated glomerular filtration rate (GFR) ≥30 ˂90 mL/min/1.73m2 confirmed with repeat testing over three or more months calculated by the abbreviated MDRD study equation;
* persistent macroalbuminuria with spot urine albumin-to-creatinine ratio (UACR) ≥ 300 mg/g confirmed by at least 2 out of 3 consecutive first morning void urine samples;
* on stable dose of anti-diabetic drug including insulin for 12 weeks;
* on stable dose of angiotensin-converting-enzyme inhibitor or angiotensin receptor blocker for 12 weeks; and
* willing and able to give written informed consent

Exclusion Criteria:

* with known history of glomerulonephritis, polycystic kidney disease, systemic lupus erythematosus, any suggestive evidence of nondiabetic glomerulopathy;
* with known history of kidney transplant;
* with concurrent severe disorders of heart, brain, liver, and hematopoietic system, tumor and mental disorder;
* with deranged liver function;
* poorly controlled blood pressure;
* with known history of intolerance or malabsorption of oral medications;
* with uncontrollable urinary infection;
* experiencing pregnancy; or
* participating in other clinical trial within 30 days",35 Years,80 Years,ALL,False,"[{'measure': 'Change in estimated GFR', 'description': 'Efficacy and safety', 'timeFrame': 'From baseline to 48 weeks after treatment'}, {'measure': 'Change in spot urine albumin-to-creatinine ratio', 'description': 'Efficacy and safety', 'timeFrame': 'From baseline to 48 weeks after treatment'}]","[{'measure': 'Change in glycated haemoglobin (HbA1c)', 'timeFrame': 'From baseline to 48 weeks after treatment'}, {'measure': 'Change in urinary monocyte chemotactic protein 1 (MCP-1)', 'timeFrame': 'From baseline to 48 weeks after treatment'}, {'measure': 'Change in urinary Cystatin C', 'timeFrame': 'From baseline to 48 weeks after treatment'}, {'measure': 'Change in lipids', 'timeFrame': 'From baseline to 48 weeks after treatment'}]",2018-07-01,2022-12-31,2018-05-24,UNKNOWN,,False,The University of Hong Kong,OTHER,"['School of Chinese Medicine, The University of Hong Kong']","[{'facility': 'Queen Mary Hospital', 'status': 'RECRUITING', 'city': 'Hong Kong', 'country': 'Hong Kong', 'contacts': [{'name': 'Sydney CW TANG, MD, PhD', 'role': 'CONTACT', 'phone': '+852 22553879', 'email': 'scwtang@hku.hk'}, {'name': 'Kam Wa CHAN, BCM, MCM, MSc.(PH)', 'role': 'CONTACT', 'phone': '+852 22553207', 'email': 'chriskwcchan@hku.hk'}], 'geoPoint': {'lat': 22.27832, 'lon': 114.17469}}, {'facility': 'School of Chinese Medicine', 'status': 'NOT_YET_RECRUITING', 'city': 'Hong Kong', 'country': 'Hong Kong', 'contacts': [{'name': 'Lixing LAO, MD, PHD', 'role': 'CONTACT'}], 'geoPoint': {'lat': 22.27832, 'lon': 114.17469}}]",2025-09-01T07:01:23.838945,v2
NCT04882735,Efficacy and Safety of Acoramidis (AG10) in Subjects with Transthyretin Amyloid Polyneurophathy (ATTRibute-PN),Acoramidis,['Acoramidis'],,[],['PHASE3'],PHASE3,INTERVENTIONAL,NA,SINGLE_GROUP,,TREATMENT,0,ACTUAL,"Inclusion Criteria:

* Male or female ≥18 to ≤90 years of age;
* Have Stage I or II symptoms (polyneuropathy disability \[PND\] ≤IIIb) of ATTR-PN and an established diagnosis of ATTR-PN as defined by physical examination findings and/or neurophysiological test findings consistent with the diagnosis of ATTR-PN;
* Have an NIS of 5 to 130 (inclusive) during Screening;
* Have a nerve conduction studies (NCS) score (sum of the sural sensory nerve action potential \[SNAP\], tibial compound muscle action potential (CMAP), ulnar SNAP, ulnar CMAP, and peroneal CMAP) of ≥2 points during Screening. NCS is a component of mNIS+7;
* Have a mutation consistent with ATTR-PN either documented in medical history or confirmed by genotyping obtained at Screening prior to enrollment. No genetic testing is needed for subjects who are recipients of domino liver transplants;
* Have an anticipated survival of \>2 years in the opinion of the investigator;
* Have Karnofsky performance status ≥60 %.

Exclusion Criteria:

* Had a prior liver transplantation or is planning to undergo liver transplantation with a wild-type organ graft as treatment for symptomatic ATTR-PN during the study period. Note: Recipients of a ""domino"" liver transplant from an ATTR-PN donor who have developed ATTR-PN mediated by their graft are allowed under this protocol, as long as re-transplantation to treat ATTR-PN is not planned during the study period and meets all other eligibility criteria;
* Has sensorimotor or autonomic neuropathy not related to ATTR-PN; for example, due to autoimmune disease or monoclonal gammopathy, malignancy, or alcohol abuse;
* Has Vitamin B-12 levels below the lower limit of normal (LLN) at Screening;
* Has clinical evidence of untreated hyperthyroidism or hypothyroidism;
* Has leptomeningeal TTR amyloidosis;
* Has Type 1 diabetes;
* Has had Type 2 diabetes for ≥5 years;
* Has a documented case of hepatitis B or C at Screening;
* Known history of human immunodeficiency virus (HIV) infection;
* Has NYHA heart failure classification \>Class II;
* Had acute coronary syndrome, uncontrolled cardiac arrhythmia, or a stroke within 90 days prior to Screening;
* Has estimated glomerular filtration rate (eGFR) by Modification of Diet for Renal Disease (MDRD) formula \<30 mL/min/1.73 m2 at Screening;
* Has abnormal liver function tests at Screening, defined as alanine aminotransferase (ALT) or aspartate aminotransferase (AST) \>3 × upper limit of normal (ULN) or total bilirubin \>3 × ULN;
* Had a malignancy within 2 years, except for basal or squamous cell carcinoma of the skin or carcinoma in situ of the cervix that has been successfully treated;
* Has known hypersensitivity to acoramidis, its metabolites, or formulation excipients.
* Is currently undergoing treatment for ATTR-PN with tafamidis, or patisiran, inotersen, or other knockdown agents, marketed drug products lacking a labeled indication for ATTR-PN (e.g., diflunisal, doxycycline), natural products or derivatives used as unproven therapies for ATTR-PN (e.g., green tea extract ,tauroursodeoxycholic acid \[TUDCA\]/ursodiol), within 14 days, or 14 days for tafamidis or 90days for patisiran and 180 days for inotersen prior to dosing.",18 Years,90 Years,ALL,False,"[{'measure': 'Change from baseline to Month 18 in mNIS+7', 'description': 'To determine the efficacy of acoramidis in subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN) by evaluating the change in Modified Neuropathy Impairment Score +7 (mNIS+7) from baseline to 18 months.', 'timeFrame': '18 Months'}, {'measure': 'Safety: TESAEs will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}, {'measure': 'Safety: Adverse Events leading to treatment discontinuation will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}, {'measure': 'Safety: Adverse Events will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}, {'measure': 'Safety: Incidence of abnormal physical exam will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}, {'measure': 'Safety: Incidence of abnormal vital signs will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}, {'measure': 'Safety: Columbia-Suicide Severity Rating Scale (C-SSRS) will be used to evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic polyneuropathy (ATTR-PN)', 'description': 'To evaluate the long-term safety and tolerability of acoramidis administered to subjects with symptomatic transthyretin amyloid polyneuropathy (ATTR-PN)', 'timeFrame': '60 Months'}]","[{'measure': 'Change from baseline to Month 18 in Norfolk QOL-DN', 'description': 'To evaluate the effects of acoramidis in subjects with symptomatic ATTR-PN on Norfolk Quality of Life Questionnaire-Diabetic Neuropathy (Norfolk QOL-DN)', 'timeFrame': '18 Months'}, {'measure': 'Change from baseline to Month 18 in mBMI', 'description': 'To evaluate the effects of acoramidis in subjects with symptomatic ATTR-PN on Modified body mass index (mBMI)', 'timeFrame': '18 Months'}, {'measure': 'Change from baseline to Month 18 in COMPASS-31', 'description': 'To evaluate the effects of acoramidis in subjects with symptomatic ATTR-PN on Composite Autonomic Score (COMPASS-31)', 'timeFrame': '18 Months'}]",2021-09-08,2026-10,2021-05-12,WITHDRAWN,Sponsor's decision to cancel study,False,"Eidos Therapeutics, a BridgeBio company",INDUSTRY,[],[],2025-09-01T07:01:23.838959,v2
NCT02121535,Bioequivalence Study of Telmisartan Between T80/A5/H12.5 mg FDC Tablet and T80/A5 mg Tab and H12.5 mg Tab Concomitant Use,T80/A5 mg FDC tablet,"['T80/A5 mg FDC tablet', 'T80/A5 mg FDC tablet', 'H12.5 mg tablet', 'T80/A5/H12.5 ng FDC tablet', 'H12.5 mf tablet', 'T80/A5/H12.5 mg FDC tablet']",,[],['PHASE1'],PHASE1,INTERVENTIONAL,RANDOMIZED,CROSSOVER,,TREATMENT,72,ACTUAL,"Inclusion criteria:

* Healthy male subjects age =20 and =35 years; body weight: =50 kg and =80 kg; body mass index: =18.0 and =25.0 kg/m2
* Without any clinically significant findings and complications on the basis of a complete medical history, including the physical examination, vital signs (blood pressure (BP), pulse rate (PR), body temperature), 12-lead electrocardiograms (ECGs), clinical laboratory tests
* Signed and dated written informed consent prior to admission to the trial in accordance with the Good Clinical Practice (GCP) and the local legislation.

Exclusion criteria:

\- Any finding of the medical examination (including BP, PR and ECGs) deviating from normal and of clinical relevance.",20 Years,35 Years,MALE,True,"[{'measure': 'Area Under the Concentration-time Curve of the Telmisartan in Plasma Over the Time Interval From 0 to the Time of the Last Quantifiable Data Point (AUC0-tz)', 'description': 'Area under the concentration-time curve of the telmisartan in plasma over the time interval from 0 to the time of the last quantifiable data point (AUC0-tz)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h after drug administration'}, {'measure': 'Cmax for Telmisartan', 'description': 'Cmax (maximum measured concentration of the analyte in plasma)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h after drug administration'}, {'measure': 'AUC0-tz for Amlodipine', 'description': 'AUC0-tz (area under the concentration-time curve of the analyte in plasma over the time interval from 0 to the time of the last quantifiable data point)', 'timeFrame': '3hours(h) before drug administration and 1h, 2h, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h, 96h, 120h, 144h after drug administration'}, {'measure': 'Cmax for Amlodipine', 'description': 'Cmax (maximum measured concentration of the analyte in plasma)', 'timeFrame': '3hours(h) before drug administration and 1h, 2h, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h, 96h, 120h, 144h after drug administration'}, {'measure': 'Cmax for Hydrochlorothiazide', 'description': 'Cmax (maximum measured concentration of the analyte in plasma)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h after drug administration'}, {'measure': 'AUC0-tz for Hydrochlorothiazide', 'description': 'AUC0-tz (area under the concentration-time curve of the analyte in plasma over the time interval from 0 to the time of the last quantifiable data point)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h after drug administration'}]","[{'measure': 'AUC0-∞ for Telmisartan', 'description': 'AUC0-∞ (area under the concentration-time curve of the analyte in plasma over the time interval from 0 extrapolated to infinity)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h after drug administration'}, {'measure': 'AUC0-∞ for Amlodipine', 'description': 'AUC0-∞ (area under the concentration-time curve of the analyte in plasma over the time interval from 0 extrapolated to infinity)', 'timeFrame': '3hours(h) before drug administration and 1h, 2h, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h, 72h, 96h, 120h, 144h after drug administration'}, {'measure': 'AUC0-∞ for Hydrochlorothiazide', 'description': 'AUC0-∞ (area under the concentration-time curve of the analyte in plasma over the time interval from 0 extrapolated to infinity)', 'timeFrame': '3hours(h) before drug administration and 15minutes (m), 30m, 45m, 1h, 1h30m, 2h, 2h30m, 3h, 4h, 6h, 8h, 12h, 24h, 32h, 48h after drug administration'}]",2014-04,2014-08,2014-04-23,COMPLETED,,False,Boehringer Ingelheim,INDUSTRY,[],"[{'facility': 'Boehringer Ingelheim Investigational Site', 'city': 'Kanagawa, Yokohama', 'country': 'Japan'}]",2025-09-01T07:01:23.838971,v2
NCT06485635,Real-life-persistence to Antifibrotic Treatments,Nintedanib,"['Nintedanib', 'Pirfenidone']",,[],[],,OBSERVATIONAL,,,,,10646,ACTUAL,"Inclusion criteria:

All patients with a reimbursement of AF treatment between 2018 and 2022 will be included for analysis.

Exclusion criteria:

No exclusion criteria will be applied.",,,ALL,False,"[{'measure': 'Persistence to antifibrotic (AF) treatment (measured as percentage of patients still treated up to 30 months after AF treatment initiation)', 'timeFrame': 'up to 30 months'}]","[{'measure': 'AF prevalence in French population', 'timeFrame': 'up to 5 years'}, {'measure': 'AF incidence in French population', 'timeFrame': 'up to 4 years'}, {'measure': 'Number of AF treated patients split by indication', 'description': 'Indications:\n\n* Idiopathic Pulmonary Fibrosis (IPF)\n* Interstitial Lung Disease associated with Systemic Sclerosis (SSc-ILD)\n* Progressive Pulmonary Fibrosis (PPF)', 'timeFrame': 'up to 2 years'}, {'measure': 'Number of patients adherent to AF treatment', 'description': 'In incident AF patients, percentage of days covered (PDC) will be calculated at different time point to measure the adherence to AF treatment for patients persistent to treatment at this time point.\n\nThe PDC is the ratio dividing the number of days exposed by the number of days in the period evaluated.\n\nA PDC≥ 80% is considered as a good adherence to medication.', 'timeFrame': 'up to 30 months'}, {'measure': 'Percentage of the target cumulative dose of treatment received by the patients', 'timeFrame': 'up to 30 months'}, {'measure': 'Influence of factors (yes/no) associated with persistence to AF treatments', 'description': 'For a pre-determined list of variables (as defined in the study protocol) in incident AF patients, a multivariate time-dependant Cox model will test several covariates to check if they are associated with persistence to AF treatment.', 'timeFrame': 'up to 30 months'}, {'measure': 'Number of patients with switch from one AF treatment to the another with no treatment stop', 'timeFrame': 'up to 5 years'}, {'measure': 'Number of patients at site of follow-up (identified as 2 lung function tests performed in the center)', 'timeFrame': 'up to 5 years'}, {'measure': 'Overall Survival (defined as time from index date (first reimbursement of AF treatment) to death from any cause)', 'timeFrame': 'up to5 years'}, {'measure': 'Event-free survival', 'description': 'Defined as the time from index date to\n\n* oxygenotherapy onset\n* hospitalisation for respiratory exacerbations\n* hospitalisation for other respiratory diseases\n* ath from any cause', 'timeFrame': 'up to 5 years'}]",2024-10-16,2025-09-01,2024-07-03,ACTIVE_NOT_RECRUITING,,False,Boehringer Ingelheim,INDUSTRY,[],"[{'facility': 'Clinityx', 'city': 'Boulogne-Billancourt', 'zip': '92100', 'country': 'France', 'geoPoint': {'lat': 48.83545, 'lon': 2.24128}}]",2025-09-01T07:01:23.838980,v2
NCT00932035,Axillary Lymph Node Preservation Surgery in Reducing Lymphedema in Patients With Breast Cancer,isosulfan blue based lymphatic mapping,['isosulfan blue based lymphatic mapping'],,[],"['PHASE1', 'PHASE2']",PHASE1,INTERVENTIONAL,RANDOMIZED,PARALLEL,,SUPPORTIVE_CARE,39,ACTUAL,"Inclusion Criteria:

\- Patients diagnosed with breast cancer with a planned axillary lymph node dissection planned for breast cancer

Exclusion Criteria:

* Prior lymphedema in either arm
* Prior history of axillary surgery (except for sentinel node biopsies)
* Prior history of chest/axillary radiation
* Need for bilateral axillary node dissection surgery
* Prior neurologic deficits (either motor or sensory) in ipsilateral arm
* Known allergy to vital blue dyes
* No prior diagnosis of inflammatory breast cancer
* Cannot be pregnant or planning to continue breast-feeding immediately after surgery",,,FEMALE,False,"[{'measure': 'Percentage of Patients With Arm Lymphatics Above, at, or Below the Axillary Vein', 'description': ""A Fisher's exact test with a one-sided alpha of 0.05 will be used to determine if the percentage of patients with arm lymphatics above, around, or below the axillary vein in the standard dissection group is superior to the experimental dissection group."", 'timeFrame': 'Up to 4 years'}, {'measure': 'Percentage of Patients With Positive Axillary Reverse Mapping (ARM) Identified Nodes', 'description': ""A Fisher's exact test with a one-sided alpha of 0.05 will be used to determine if the percentage of patients with positive ARM identified nodes excised in the standard dissection group is superior to the experimental dissection group."", 'timeFrame': 'Up to 4 years'}, {'measure': 'Percentage of Patients With Lymphedema', 'description': 'Difference between arms in patients developing lymphedema at any point during the study will be evaluated using chi-squared tests.', 'timeFrame': 'Up to 4 years'}]",[],2009-06,2014-05,2009-07-02,TERMINATED,Loss of principal investigator,False,City of Hope Medical Center,OTHER,['National Cancer Institute (NCI)'],"[{'facility': 'City of Hope Medical Center', 'city': 'Duarte', 'state': 'California', 'zip': '91010', 'country': 'United States', 'geoPoint': {'lat': 34.13945, 'lon': -117.97729}}, {'facility': 'University of California, Davis Medical Center', 'city': 'Sacramento', 'state': 'California', 'zip': '95817', 'country': 'United States', 'geoPoint': {'lat': 38.58157, 'lon': -121.4944}}, {'facility': 'University of North Carolina', 'city': 'Chapel Hill', 'state': 'North Carolina', 'zip': '27599-1350', 'country': 'United States', 'geoPoint': {'lat': 35.9132, 'lon': -79.05584}}]",2025-09-01T07:01:23.838993,v2
NCT01019408,Extended-dose Chloroquine (ECQ) for Resistant Falciparum Malaria Among Afghan Refugees in Pakistan,Chloroquine,['Chloroquine'],,[],['PHASE4'],PHASE4,INTERVENTIONAL,RANDOMIZED,PARALLEL,,TREATMENT,163,ACTUAL,"Inclusion Criteria:

* slide-confirmed infection with P. falciparum only
* initial parasite density of 1000-100,000 asexual parasites/μl
* absence of severe malnutrition
* ability to attend stipulated follow-up visits and easy access to facility
* informed consent provided by patient or parent/guardian
* absence of history of hypersensitivity reactions to CQ

Exclusion Criteria:

* infants under six months old
* pregnancy or lactation
* underlying chronic severe illness
* patients with other febrile illnesses
* parasitaemia outside the range of 1000-100,000 asexual parasites/µl
* severe malaria",6 Months,60 Years,ALL,False,"[{'measure': 'therapeutic and parasitological cure with no recrudescence', 'timeFrame': '60 days'}]","[{'measure': 'parasite clearance time', 'timeFrame': '28 days'}, {'measure': 'fever clearance time', 'timeFrame': '28 days'}, {'measure': 'gametocytaemia', 'timeFrame': '28 days'}]",1993-11,1995-01,2009-11-25,COMPLETED,,False,London School of Hygiene and Tropical Medicine,OTHER,"['European Union', 'United Nations High Commissioner for Refugees', 'World Health Organization']","[{'facility': 'Adezai Basic Health Unit', 'city': 'Adezai', 'state': 'Khyber Pakhtunkhwa', 'country': 'Pakistan', 'geoPoint': {'lat': 33.78666, 'lon': 71.57701}}, {'facility': 'Baghicha Basic Health Unit', 'city': 'Bāghīcha', 'state': 'Khyber Pakhtunkhwa', 'country': 'Pakistan', 'geoPoint': {'lat': 34.22852, 'lon': 72.21427}}, {'facility': 'Kagan Basic Health Unit', 'city': 'Kagan', 'state': 'Khyber Pakhtunkhwa', 'country': 'Pakistan', 'geoPoint': {'lat': 34.33238, 'lon': 71.76503}}]",2025-09-01T07:01:23.839004,v2
NCT01328808,Metabolism and Toxicity of Acetaminophen,Acetaminophen/APAP,['Acetaminophen/APAP'],,[],"['PHASE2', 'PHASE3']",PHASE2,INTERVENTIONAL,NA,SINGLE_GROUP,,TREATMENT,31,ACTUAL,"Inclusion Criteria:

* Preterm and term neonates of both genders and all races
* a postnatal age of less than 28 days
* GA's of from 22 to less than 37 weeks
* an indwelling (peripheral or umbilical) arterial line
* a clinical indication for intravenous administration of pain relief medication

Exclusion Criteria:

* Neonates with severe asphyxia
* grade III or IV intraventricular hemorrhage, major congenital malformations/facial malformations (e.g., cleft lip and palate),
* neurological disorders
* those receiving continuous or intermittent neuromuscular blockers
* clinical or biochemical evidence of hepatic renal failure (including systemic hypoperfusion)",22 Weeks,37 Weeks,ALL,False,"[{'measure': 'primary endpoint PK analysis', 'description': 'Blood and urine levels of APAP and metabolites', 'timeFrame': '48 hours'}]","[{'measure': 'Developmental stage', 'description': 'To assess both the magnitude and statistical significance of any evidence of relationship between developmental stage and toxicity-associated metabolite levels.\n\nThe analyses will also hold constant APAP dose, BID or TID and possible confounding variables such as birth order, maternal smoking status, and maternal age. We will plot the relationship between stage of development and measures of APAP Metabolism, taken at different gestational and postnatal ages. A hierarchical, cross sectional time series models will be used.', 'timeFrame': '48 hours'}]",2011-10,2022-12,2011-04-05,UNKNOWN,,False,John van den Anker,OTHER,[],"[{'facility': ""Children's National Medical Center"", 'city': 'Washington D.C.', 'state': 'District of Columbia', 'zip': '20010', 'country': 'United States', 'geoPoint': {'lat': 38.89511, 'lon': -77.03637}}, {'facility': 'Childrens Research Institute', 'city': 'Washington D.C.', 'state': 'District of Columbia', 'zip': '20010', 'country': 'United States', 'geoPoint': {'lat': 38.89511, 'lon': -77.03637}}]",2025-09-01T07:01:23.839012,v2
NCT00725608,Acceptability and Safety of Switching From Subutex or Other Opioid Drug Dependence Therapy to Suboxone (NIS P05444),buprenorphine/naloxone,['buprenorphine/naloxone'],,[],[],,OBSERVATIONAL,,,,,339,ACTUAL,"Inclusion Criteria:

* All patients on substitution therapy, that are willing to switch to Suboxone, can be included.
* Therapeutic indications and contraindications for Suboxone® must be taken into consideration when selecting patients.

Exclusion Criteria:

* According to product information
* In accordance with the product information pregnant women will be excluded.",15 Years,,ALL,False,"[{'measure': 'Retention Rate', 'description': 'The primary objective of this study was to determine the retention rate of patients after 6 and 12 months of treatment with buprenorphine/naloxone measured by the percentage of patients remaining in the study', 'timeFrame': 'month 6, month 12'}]","[{'measure': 'Dosing of Suboxone (Buprenorphine Plus Naloxone)', 'description': 'One of the secondary objectives was to evaluate the effect of the switch to buprenorphine/naloxone on medication dispensing measured by dose.', 'timeFrame': 'day 1, month 6, month 12'}, {'measure': 'Dispensing of Suboxone (Buprenorphine Plus Naloxone)', 'description': 'Another of the secondary objectives was to evaluate the effect of the switch to Suboxone (buprenorphine plus naloxone) on medication dispensing measured by frequency of visits to the treating physician or pharmacy to receive the medication (daily, biweekly, once weekly, monthly, other)', 'timeFrame': 'month 6, month 12'}]",2008-05,2011-04,2008-07-30,COMPLETED,,False,Indivior Inc.,INDUSTRY,[],"[{'facility': '(Multiple sites in Austria) => Coordinating CRO: H&P GmbH', 'city': 'Vienna', 'zip': '1070', 'country': 'Austria', 'geoPoint': {'lat': 48.20849, 'lon': 16.37208}}]",2025-09-01T07:01:23.839020,v2
