compound_id,chembl_id,primary_drug,all_drug_names,smiles,smiles_source,mapping_status,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,max_clinical_phase,clinical_status,primary_condition,data_source,compound_type,collected_date,efficacy_score,safety_score,success_probability
CHEMBL_CHEMBL2,CHEMBL2,PRAZOSIN,['PRAZOSIN'],COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,CHEMBL2,success,383.41,1.78,1.0,8.0,4.0,106.95,3.0,28.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687889,,,
CHEMBL_CHEMBL3,CHEMBL3,NICOTINE,['NICOTINE'],CN1CCC[C@H]1c1cccnc1,CHEMBL3,success,162.24,1.85,0.0,2.0,1.0,16.13,1.0,12.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687907,,,
CHEMBL_CHEMBL4,CHEMBL4,OFLOXACIN,['OFLOXACIN'],CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,CHEMBL4,success,361.37,1.54,1.0,6.0,2.0,75.01,2.0,26.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687912,,,
CHEMBL_CHEMBL5,CHEMBL5,NALIDIXIC ACID,['NALIDIXIC ACID'],CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,CHEMBL5,success,232.24,1.42,1.0,4.0,2.0,72.19,2.0,17.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687915,,,
CHEMBL_CHEMBL6,CHEMBL6,INDOMETHACIN,['INDOMETHACIN'],COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,success,357.79,3.93,1.0,4.0,4.0,68.53,3.0,25.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687918,,,
CHEMBL_CHEMBL403,CHEMBL403,SULBACTAM,['SULBACTAM'],CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL403,success,233.24,-0.79,1.0,4.0,1.0,91.75,0.0,15.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687920,,,
CHEMBL_CHEMBL404,CHEMBL404,TAZOBACTAM,['TAZOBACTAM'],C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,CHEMBL404,success,300.30,-1.52,1.0,7.0,3.0,122.46,1.0,20.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687923,,,
CHEMBL_CHEMBL8,CHEMBL8,CIPROFLOXACIN,['CIPROFLOXACIN'],O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL8,success,331.35,1.58,2.0,5.0,3.0,74.57,2.0,24.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687925,,,
CHEMBL_CHEMBL9,CHEMBL9,NORFLOXACIN,['NORFLOXACIN'],CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CHEMBL9,success,319.34,1.27,2.0,5.0,3.0,74.57,2.0,23.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687927,,,
CHEMBL_CHEMBL405,CHEMBL405,AMPHETAMINE,['AMPHETAMINE'],CC(N)Cc1ccccc1,CHEMBL405,success,135.21,1.58,1.0,1.0,2.0,26.02,1.0,10.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687930,,,
CHEMBL_CHEMBL6622,CHEMBL6622,ISOSORBIDE DINITRATE,['ISOSORBIDE DINITRATE'],O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],CHEMBL6622,success,236.14,-1.06,0.0,8.0,4.0,123.20,0.0,16.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687933,,,
CHEMBL_CHEMBL6437,CHEMBL6437,MIANSERIN,['MIANSERIN'],CN1CCN2c3ccccc3Cc3ccccc3C2C1,CHEMBL6437,success,264.37,3.08,0.0,2.0,0.0,6.48,2.0,20.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687937,,,
CHEMBL_CHEMBL11,CHEMBL11,IMIPRAMINE,['IMIPRAMINE'],CN(C)CCCN1c2ccccc2CCc2ccccc21,CHEMBL11,success,280.42,3.88,0.0,2.0,4.0,6.48,2.0,21.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687940,,,
CHEMBL_CHEMBL406,CHEMBL406,INDAPAMIDE,['INDAPAMIDE'],CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CHEMBL406,success,365.84,2.08,2.0,4.0,3.0,92.50,2.0,24.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687943,,,
CHEMBL_CHEMBL407,CHEMBL407,FLUMAZENIL,['FLUMAZENIL'],CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,CHEMBL407,success,303.29,1.77,0.0,5.0,2.0,64.43,2.0,22.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687945,,,
CHEMBL_CHEMBL408,CHEMBL408,TROGLITAZONE,['TROGLITAZONE'],Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,CHEMBL408,success,441.55,4.37,2.0,6.0,5.0,84.86,2.0,31.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687948,,,
CHEMBL_CHEMBL409,CHEMBL409,BICALUTAMIDE,['BICALUTAMIDE'],CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,CHEMBL409,success,430.38,2.88,2.0,5.0,5.0,107.26,2.0,29.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687950,,,
CHEMBL_CHEMBL12,CHEMBL12,DIAZEPAM,['DIAZEPAM'],CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CHEMBL12,success,284.75,3.15,0.0,2.0,1.0,32.67,2.0,20.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687953,,,
CHEMBL_CHEMBL13,CHEMBL13,METOPROLOL,['METOPROLOL'],COCCc1ccc(OCC(O)CNC(C)C)cc1,CHEMBL13,success,267.37,1.61,2.0,4.0,9.0,50.72,1.0,19.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687957,,,
CHEMBL_CHEMBL411,CHEMBL411,DIETHYLSTILBESTROL,['DIETHYLSTILBESTROL'],CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411,success,268.36,4.83,2.0,2.0,4.0,40.46,2.0,20.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687960,,,
CHEMBL_CHEMBL267936,CHEMBL267936,MECAMYLAMINE,['MECAMYLAMINE'],CNC1(C)C2CCC(C2)C1(C)C,CHEMBL267936,success,167.30,2.42,1.0,1.0,1.0,12.03,0.0,12.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687963,,,
CHEMBL_CHEMBL14,CHEMBL14,CARBACHOL,['CARBACHOL'],C[N+](C)(C)CCOC(N)=O.[Cl-],CHEMBL14,success,182.65,-0.21,1.0,2.0,3.0,52.32,0.0,10.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687965,,,
CHEMBL_CHEMBL16,CHEMBL16,PHENYTOIN,['PHENYTOIN'],O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CHEMBL16,success,252.27,1.77,2.0,2.0,2.0,58.20,2.0,19.0,0,,,,4.0,Phase_4.0,,chembl_robust,Small molecule,2025-09-01T16:06:00.687968,,,
