canonical_smiles,primary_drug,approved,approval_status,max_clinical_phase
CCCC(=O)OCOC(=O)C(C)(C)C,AN-9,0,Phase II,2.0
CCN(c1nc(C)cc(-c2ccccc2C(F)(F)F)n1)c1c(Br)cc(N(C)C)cc1OC,ChEMBL_CHEMBL10015,0,Preclinical,0.0
CC1CCC(C)C1OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1,ChEMBL_CHEMBL10023,0,Preclinical,0.0
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,URIDINE,1,Phase III,3.0
CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,ChEMBL_CHEMBL10042,0,Preclinical,0.0
CNC(=S)C1(c2ccccn2)CCCS1,PICARTAMIDE,0,Phase II,2.0
CCCCCc1c(O)noc1CC(N)C(=O)O,ChEMBL_CHEMBL10047,0,Preclinical,0.0
CCCOC1(C2=NCCN2)COc2ccccc2O1,ChEMBL_CHEMBL10049,0,Preclinical,0.0
CN(CCc1ccc2c(c1)OCO2)C[C@@H]1CCCc2c1ccc1c2OCC1,ChEMBL_CHEMBL10052,0,Preclinical,0.0
COc1cnc(C[S+]([O-])c2nc3cc(OC(F)(F)C(F)F)ccc3[nH]2)c(C)c1OC,ChEMBL_CHEMBL10061,0,Preclinical,0.0
C[N+](C)(C)CCCCCC[N+](C)(C)C,HEXAMETHONIUM,0,Phase II,2.0
CC1(OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c2ccccc2)CC2CCC1C2,ChEMBL_CHEMBL10069,0,Preclinical,0.0
COc1cnc(C[S+]([O-])c2nc3cc(OC(F)(F)C(F)F)ccc3[nH]2)cc1OC,ChEMBL_CHEMBL10070,0,Preclinical,0.0
C=C(CSCCN(CC)CC)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,ChEMBL_CHEMBL10077,0,Preclinical,0.0
CC(=O)OCn1c(SCc2nccc3c2CCC[S+]3[O-])nc2ccccc21,ChEMBL_CHEMBL10078,0,Preclinical,0.0
CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,MAZAPERTINE,0,Withdrawn,-1.0
