chembl_id,canonical_smiles,primary_drug,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,mol_num_rings,mol_num_heteroatoms,mol_fraction_csp3,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,tox_data_sources
CHEMBL2,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,PRAZOSIN,383.41,1.78,1.0,8.0,4.0,106.95,3.0,28.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL3,CN1CCC[C@H]1c1cccnc1,NICOTINE,162.24,1.85,0.0,2.0,1.0,16.13,1.0,12.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,OFLOXACIN,361.37,1.54,1.0,6.0,2.0,75.01,2.0,26.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,NALIDIXIC ACID,232.24,1.42,1.0,4.0,2.0,72.19,2.0,17.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,INDOMETHACIN,357.79,3.93,1.0,4.0,4.0,68.53,3.0,25.0,0,,,,,medium,,,,medium,,medium,medium,,[]
CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,SULBACTAM,233.24,-0.79,1.0,4.0,1.0,91.75,0.0,15.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,TAZOBACTAM,300.3,-1.52,1.0,7.0,3.0,122.46,1.0,20.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,CIPROFLOXACIN,331.35,1.58,2.0,5.0,3.0,74.57,2.0,24.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL9,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,NORFLOXACIN,319.34,1.27,2.0,5.0,3.0,74.57,2.0,23.0,0,,,,,low,,,,low,,medium,low,,[]
CHEMBL405,CC(N)Cc1ccccc1,AMPHETAMINE,135.21,1.58,1.0,1.0,2.0,26.02,1.0,10.0,0,,,,,low,,,,low,,low,low,,[]
CHEMBL405,CC(N)Cc1ccccc1,AMPHETAMINE,135.21,1.58,1.0,1.0,2.0,26.02,1.0,10.0,0,,,,,low,,,,low,,low,low,,[]
