chembl_id,primary_drug,tox_herg_ic50_uM,tox_herg_risk,tox_cyp3a4_inhib,tox_cyp2d6_inhib,tox_cyp1a2_inhib,tox_cyp_risk,tox_ames,tox_ames_risk,tox_dili_risk,tox_bbb_perm,black_box_warning,hepatotoxicity,nephrotoxicity,cardiotoxicity,bioactivity_count,tox_data_sources,data_source,created_at,last_updated
CHEMBL2,PRAZOSIN,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724291,2025-09-05 06:28:14.724294
CHEMBL3,NICOTINE,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724390,2025-09-05 06:28:14.724390
CHEMBL4,OFLOXACIN,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724436,2025-09-05 06:28:14.724436
CHEMBL5,NALIDIXIC ACID,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724472,2025-09-05 06:28:14.724473
CHEMBL6,INDOMETHACIN,,medium,,,,medium,,medium,medium,,False,False,False,True,0,[],chembl_bioactivity,2025-09-05 06:28:14.724506,2025-09-05 06:28:14.724507
CHEMBL403,SULBACTAM,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724538,2025-09-05 06:28:14.724538
CHEMBL404,TAZOBACTAM,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724574,2025-09-05 06:28:14.724574
CHEMBL8,CIPROFLOXACIN,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724604,2025-09-05 06:28:14.724604
CHEMBL9,NORFLOXACIN,,low,,,,low,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724636,2025-09-05 06:28:14.724636
CHEMBL405,AMPHETAMINE,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724669,2025-09-05 06:28:14.724669
CHEMBL6622,ISOSORBIDE DINITRATE,,low,,,,low,,low,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724698,2025-09-05 06:28:14.724699
CHEMBL6437,MIANSERIN,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724728,2025-09-05 06:28:14.724728
CHEMBL11,IMIPRAMINE,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724756,2025-09-05 06:28:14.724757
CHEMBL406,INDAPAMIDE,,medium,,,,medium,,medium,low,,False,False,False,False,0,[],chembl_bioactivity,2025-09-05 06:28:14.724784,2025-09-05 06:28:14.724784
