primary_drug,max_clinical_phase,trial_activity_count,trial_status_most_recent,first_trial_date,last_trial_date,approval_date_first,approved,active_trials,completed_trials,terminated_trials,data_source,created_at,last_updated
"""Endostar""",0,1,TERMINATED,2016-04-01,2016-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.266300,2025-09-05 06:27:07.266302
(18F)FES,0,1,COMPLETED,2019-01-03,2019-01-03,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.268446,2025-09-05 06:27:07.268447
"(Cosopt®, prostaglandin)",0,1,COMPLETED,2010-06-01,2010-06-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.270353,2025-09-05 06:27:07.270355
(R)-9bMS,0,1,NOT_YET_RECRUITING,2025-03-30,2025-03-30,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.272280,2025-09-05 06:27:07.272281
0.0ng/ml Dexmedetomidine,0,1,COMPLETED,2016-01-01,2016-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.274127,2025-09-05 06:27:07.274129
0.1% or 0.2% ropivacaine nerve blocks,0,1,COMPLETED,2010-01-01,2010-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.275971,2025-09-05 06:27:07.275979
0.5% bupivacaine,0,2,TERMINATED,2008-12-01,2013-10-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.277801,2025-09-05 06:27:07.277802
0.5% ropivacaine,0,1,COMPLETED,2019-08-17,2019-08-17,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.279687,2025-09-05 06:27:07.279688
0.75% Ropivacaine,0,1,COMPLETED,2011-12-01,2011-12-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.281767,2025-09-05 06:27:07.281769
0.9% NaCl,0,1,COMPLETED,2008-03-01,2008-03-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.283654,2025-09-05 06:27:07.283655
0.9% Sodium Chloride Injection,0,1,ACTIVE_NOT_RECRUITING,2022-11-10,2022-11-10,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.285516,2025-09-05 06:27:07.285517
0.9% Sodiun Chloride,0,1,COMPLETED,2018-07-01,2018-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.287416,2025-09-05 06:27:07.287417
009-1,0,1,COMPLETED,2018-11-26,2018-11-26,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.289391,2025-09-05 06:27:07.289392
0417,0,1,COMPLETED,2008-01-01,2008-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.291252,2025-09-05 06:27:07.291253
0444,0,1,COMPLETED,2008-01-01,2008-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.293083,2025-09-05 06:27:07.293084
1% Clascoterone,0,1,RECRUITING,2025-01-10,2025-01-10,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.294966,2025-09-05 06:27:07.294967
1% Lidocaine,0,1,COMPLETED,2017-10-16,2017-10-16,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.296834,2025-09-05 06:27:07.296836
"1% Lidocaine with Epinephrine (1:100,000)",0,1,COMPLETED,2010-05-01,2010-05-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.298669,2025-09-05 06:27:07.298671
1% SPL7013 Gel,0,1,COMPLETED,2011-08-01,2011-08-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.300446,2025-09-05 06:27:07.300447
1-(2-[18F]FLUOROETHYL)-L-Tryptophan,0,1,RECRUITING,2022-09-29,2022-09-29,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.302343,2025-09-05 06:27:07.302345
1. amyloid PET；2. T807 PET,0,1,UNKNOWN,2018-09-27,2018-09-27,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.304214,2025-09-05 06:27:07.304215
1.5g intravenous Exacyl,0,1,COMPLETED,2014-07-01,2014-07-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.306058,2025-09-05 06:27:07.306059
10 mg OPC-167832,0,1,COMPLETED,2018-10-18,2018-10-18,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.308001,2025-09-05 06:27:07.308002
100 mg AP1189,0,1,RECRUITING,2020-08-31,2020-08-31,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.309846,2025-09-05 06:27:07.309847
100 mg Delamanid,0,1,COMPLETED,2013-06-14,2013-06-14,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.311726,2025-09-05 06:27:07.311727
100 mg GRT0151Y,0,1,COMPLETED,2004-12-30,2004-12-30,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.313594,2025-09-05 06:27:07.313595
100% Oxygen,0,1,COMPLETED,2018-01-25,2018-01-25,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.315481,2025-09-05 06:27:07.315483
10ppm Oral Silver Particle,0,1,COMPLETED,2010-12-01,2010-12-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.317347,2025-09-05 06:27:07.317348
11.2 mg/m2 Purinostat Mesylate,0,1,RECRUITING,2024-04-14,2024-04-14,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.319239,2025-09-05 06:27:07.319241
111In-XYIMSR-01,0,1,RECRUITING,2022-01-26,2022-01-26,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.321144,2025-09-05 06:27:07.321146
11C-PBR28,0,1,UNKNOWN,2020-02-01,2020-02-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.322994,2025-09-05 06:27:07.322995
122-0551,0,1,COMPLETED,2012-04-01,2012-04-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.324834,2025-09-05 06:27:07.324835
13-cis retinoic acid,0,1,COMPLETED,2017-07-25,2017-07-25,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.326730,2025-09-05 06:27:07.326731
140/100 μg Azelastine hydrochloride/Beclomethasone Dipropionate),0,1,COMPLETED,2021-03-25,2021-03-25,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.328584,2025-09-05 06:27:07.328585
14C Tirzepatide,0,1,COMPLETED,2020-07-28,2020-07-28,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.330459,2025-09-05 06:27:07.330460
14C-JNJ26489112,0,1,COMPLETED,2010-01-01,2010-01-01,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.332257,2025-09-05 06:27:07.332259
15N Nitrate,0,1,COMPLETED,2017-08-28,2017-08-28,,False,0,0,0,existing_clinical_trials,2025-09-05 06:27:07.334202,2025-09-05 06:27:07.334204
