chembl_id,inchikey,canonical_smiles,mol_molecular_weight,mol_logp,mol_num_hbd,mol_num_hba,mol_num_rotatable_bonds,mol_tpsa,mol_num_aromatic_rings,mol_num_heavy_atoms,mol_formal_charge,tox_herg_risk,tox_cyp_risk,tox_ames_risk,tox_dili_risk,tox_bbb_permeability,tox_herg_ic50_uM,tox_herg_n_points,approved
CHEMBL100014,CHEMBL100014_KEY,CCCC(=O)OCOC(=O)C(C)(C)C,202.25,1.88,0.0,4.0,4.0,52.6,0.0,14.0,0,low,low,low,low,high,,,0
CHEMBL10015,CHEMBL10015_KEY,CCN(c1nc(C)cc(-c2ccccc2C(F)(F)F)n1)c1c(Br)cc(N(C)C)cc1OC,509.37,6.47,0.0,5.0,6.0,41.49,3.0,32.0,0,high,high,medium,high,medium,,,0
CHEMBL10023,CHEMBL10023_KEY,CC1CCC(C)C1OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1,362.43,1.62,3.0,5.0,7.0,118.72,1.0,26.0,0,low,low,low,low,medium,,,0
CHEMBL100259,CHEMBL100259_KEY,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,244.2,-2.85,4.0,7.0,2.0,124.78,1.0,17.0,0,low,low,low,low,medium,,,1
CHEMBL10042,CHEMBL10042_KEY,CS(=O)(=O)c1ccc(-c2cc(Cl)cnc2-c2ccc(CO)nc2)cc1,374.85,3.36,1.0,5.0,4.0,80.15,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL100424,CHEMBL100424_KEY,CNC(=S)C1(c2ccccn2)CCCS1,238.38,2.35,1.0,3.0,2.0,24.92,1.0,15.0,0,medium,low,low,low,high,,,0
CHEMBL10047,CHEMBL10047_KEY,CCCCCc1c(O)noc1CC(N)C(=O)O,242.27,1.07,3.0,5.0,7.0,109.58,1.0,17.0,0,low,low,low,low,medium,,,0
CHEMBL10049,CHEMBL10049_KEY,CCCOC1(C2=NCCN2)COc2ccccc2O1,262.31,1.58,1.0,5.0,4.0,52.08,1.0,19.0,0,low,low,low,low,high,,,0
CHEMBL10052,CHEMBL10052_KEY,CN(CCc1ccc2c(c1)OCO2)C[C@@H]1CCCc2c1ccc1c2OCC1,365.47,3.94,0.0,4.0,5.0,30.93,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL10061,CHEMBL10061_KEY,COc1cnc(C[S+]([O-])c2nc3cc(OC(F)(F)C(F)F)ccc3[nH]2)c(C)c1OC,447.41,3.83,1.0,6.0,8.0,92.32,3.0,30.0,0,high,medium,medium,medium,medium,,,0
CHEMBL100622,CHEMBL100622_KEY,C[N+](C)(C)CCCCCC[N+](C)(C)C,202.39,1.96,0.0,0.0,7.0,0.0,0.0,14.0,0,low,low,low,low,high,,,0
CHEMBL10069,CHEMBL10069_KEY,CC1(OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c2ccccc2)CC2CCC1C2,374.44,1.77,3.0,5.0,7.0,118.72,1.0,27.0,0,low,low,low,low,medium,,,0
CHEMBL10070,CHEMBL10070_KEY,COc1cnc(C[S+]([O-])c2nc3cc(OC(F)(F)C(F)F)ccc3[nH]2)cc1OC,433.38,3.52,1.0,6.0,8.0,92.32,3.0,29.0,0,high,medium,medium,medium,medium,,,0
CHEMBL10077,CHEMBL10077_KEY,C=C(CSCCN(CC)CC)[C@@H]1CC[C@]2(C(=O)NCCCCCCCCCCC(=O)O)CC[C@]3(C)[C@H](CCC4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,771.25,10.77,3.0,5.0,20.0,89.87,0.0,54.0,0,high,high,low,high,medium,,,0
CHEMBL10078,CHEMBL10078_KEY,CC(=O)OCn1c(SCc2nccc3c2CCC[S+]3[O-])nc2ccccc21,401.51,3.3,0.0,7.0,5.0,80.07,3.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL10085,CHEMBL10085_KEY,CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1,421.59,4.42,0.0,4.0,6.0,36.02,2.0,31.0,0,high,high,medium,medium,high,,,0
CHEMBL10094,CHEMBL10094_KEY,CC1(C)Cc2cc(C(=O)c3ccccc3)ccc2OC1=O,280.32,3.41,0.0,3.0,2.0,43.37,2.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL10095,CHEMBL10095_KEY,O=C1CCc2cc(C(=O)c3ccccc3)ccc2O1,252.27,2.77,0.0,3.0,2.0,43.37,2.0,19.0,0,medium,medium,medium,low,high,,,0
CHEMBL10105,CHEMBL10105_KEY,CC(C)Oc1ccccc1N1CCN(Cc2ccccc2CN2CCCCC2=O)CC1,421.59,4.31,0.0,4.0,7.0,36.02,2.0,31.0,0,high,high,medium,medium,high,,,0
CHEMBL10118,CHEMBL10118_KEY,C[C@@]1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,374.4,4.7,1.0,5.0,5.0,67.87,3.0,28.0,0,high,medium,medium,medium,high,,,0
CHEMBL10123,CHEMBL10123_KEY,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(Br)ccc23)cc1,442.34,5.27,2.0,4.0,4.0,71.09,4.0,27.0,0,high,high,high,medium,high,,,0
CHEMBL101253,CHEMBL101253_KEY,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,346.82,5.01,1.0,4.0,4.0,50.7,4.0,25.0,0,high,medium,high,medium,high,,,1
CHEMBL10129,CHEMBL10129_KEY,CC1CCCC(C)C1OC(=O)[C@H](NC(=O)[C@@H](N)CC(=O)O)c1ccccc1,376.45,2.01,3.0,5.0,7.0,118.72,1.0,27.0,0,medium,medium,low,low,medium,,,0
CHEMBL101309,CHEMBL101309_KEY,CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1,501.73,7.29,1.0,4.0,10.0,72.47,2.0,35.0,0,high,high,medium,high,medium,,,0
CHEMBL10157,CHEMBL10157_KEY,CC(C)(C)C(=O)Oc1ccc(Oc2ccc(OC(=O)C(C)(C)C)cc2)cc1,370.45,5.38,0.0,5.0,4.0,61.83,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL1016,CHEMBL1016_KEY,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,440.46,4.03,2.0,7.0,7.0,118.81,5.0,33.0,0,high,high,high,medium,medium,,,1
CHEMBL10162,CHEMBL10162_KEY,CC[C@@H](NC(=O)c1c(CN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1,423.56,5.84,1.0,3.0,7.0,45.23,4.0,32.0,0,high,high,high,medium,high,,,0
CHEMBL10164,CHEMBL10164_KEY,O=P(O)(O)CN[C@@H](Cc1ccccc1)c1nnn[nH]1,283.23,0.21,4.0,5.0,6.0,124.02,2.0,19.0,0,low,low,medium,low,medium,,,0
CHEMBL10165,CHEMBL10165_KEY,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br,333.14,-0.46,3.0,6.0,3.0,104.55,1.0,19.0,0,low,low,low,low,medium,,,0
CHEMBL10166,CHEMBL10166_KEY,O=C(c1ccc(Cl)cc1)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,396.66,4.01,1.0,5.0,5.0,68.01,3.0,25.0,0,high,medium,medium,medium,high,,,0
CHEMBL10167,CHEMBL10167_KEY,CC(C)C(=O)C(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,328.2,2.7,1.0,5.0,5.0,68.01,2.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL10179,CHEMBL10179_KEY,CCCCC[C@H](O)/C=C/[C@H]1C2CC(c3ccc(F)cc3)(CO2)[C@@H]1C/C=C/CCCC(=O)O,444.59,5.8,2.0,3.0,13.0,66.76,1.0,32.0,0,high,high,low,medium,high,,,0
CHEMBL10180,CHEMBL10180_KEY,Cc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,443.52,3.57,2.0,3.0,5.0,83.47,3.0,32.0,0,high,medium,medium,medium,high,,,0
CHEMBL10188,CHEMBL10188_KEY,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,382.46,5.49,2.0,3.0,5.0,62.22,4.0,29.0,0,high,medium,high,medium,high,,,0
CHEMBL10189,CHEMBL10189_KEY,CCN(c1nc(C)cc(-c2ccccc2-c2ccccc2)n1)c1ccc(C(C)C)cc1Br,486.46,8.16,0.0,3.0,6.0,29.02,4.0,32.0,0,high,high,high,medium,medium,,,0
CHEMBL10193,CHEMBL10193_KEY,COCC#CCC(NS(=O)(=O)c1ccc(NC(=O)N2CCOCC2)cc1)C(=O)O,425.46,0.32,3.0,6.0,7.0,134.27,1.0,29.0,0,low,low,low,low,medium,,,0
CHEMBL10203,CHEMBL10203_KEY,CCCN(CCC)c1cc(C)nc(N(CC)c2ccc(C(C)C)cc2Br)n1,433.44,6.46,0.0,4.0,9.0,32.26,2.0,27.0,0,high,high,medium,medium,high,,,0
CHEMBL10224,CHEMBL10224_KEY,CC[C@@H](NC(=O)c1c(N)c(-c2ccccc2)nc2ccccc12)c1ccccc1,381.48,5.37,2.0,3.0,5.0,68.01,4.0,29.0,0,high,medium,high,medium,high,,,0
CHEMBL102358,CHEMBL102358_KEY,O=C(/C=C/c1ccccc1)NCCO,191.23,0.81,2.0,2.0,4.0,49.33,1.0,14.0,0,low,low,low,low,high,,,0
CHEMBL10237,CHEMBL10237_KEY,CCN(c1nc(C)cc(-c2ccccc2Br)n1)c1ccc(C(C)C)cc1Br,489.26,7.26,0.0,3.0,5.0,29.02,3.0,27.0,0,high,high,medium,medium,medium,,,0
CHEMBL10239,CHEMBL10239_KEY,CCCC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(OC(=O)C(C)(C)CCC)cc2)cc1,438.56,6.38,0.0,5.0,10.0,69.67,2.0,32.0,0,high,high,medium,medium,high,,,0
CHEMBL10241,CHEMBL10241_KEY,COc1ccc(Sc2ccc(NC3=NCCN3)cc2)cc1,299.4,3.22,2.0,5.0,4.0,45.65,2.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL10242,CHEMBL10242_KEY,c1cc(NC2=NCCN2)ccc1Cc1ccc(OCC2CCOCC2)cc1,365.48,3.45,2.0,5.0,6.0,54.88,2.0,27.0,0,high,medium,medium,medium,high,,,0
CHEMBL10248,CHEMBL10248_KEY,Cc1ccc2c(=O)oc(Nc3ccccc3I)nc2c1,378.17,3.84,1.0,4.0,2.0,55.13,3.0,20.0,0,high,medium,medium,medium,high,,,0
CHEMBL10257,CHEMBL10257_KEY,COc1ccc(C#Cc2ccc(S(=O)(=O)NC(CC#Cc3ccccc3)C(=O)O)cc2)cc1,459.52,3.27,2.0,4.0,6.0,92.7,3.0,33.0,0,high,medium,medium,medium,medium,,,0
CHEMBL10258,CHEMBL10258_KEY,CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1,282.34,3.87,0.0,3.0,3.0,43.37,2.0,21.0,0,medium,medium,medium,low,high,,,0
CHEMBL10259,CHEMBL10259_KEY,CCC[C@H]1OC(=O)O[C@]1(Cn1cncn1)c1ccc(Cl)cc1,321.76,3.16,0.0,6.0,5.0,66.24,2.0,22.0,0,high,medium,medium,medium,high,,,0
CHEMBL10270,CHEMBL10270_KEY,C=CCN1CCC2c3c(cccc3OC)CC[C@H]21,243.35,2.99,0.0,2.0,3.0,12.47,1.0,18.0,0,medium,low,low,low,high,,,0
CHEMBL10287,CHEMBL10287_KEY,OC(c1ccc(Cl)cc1Cl)C(O)(Cn1ccnc1)c1ccc(Cl)cc1Cl,432.13,5.12,2.0,4.0,5.0,58.28,3.0,26.0,0,high,high,medium,medium,high,,,0
CHEMBL10297,CHEMBL10297_KEY,Cc1ccc([C@H]2OC(=O)O[C@]2(Cn2cncn2)c2ccc(C)cc2)cc1,349.39,3.7,0.0,6.0,4.0,66.24,3.0,26.0,0,high,medium,medium,medium,high,,,0
CHEMBL102970,CHEMBL102970_KEY,Cc1ncc(CO)c(C=O)c1O,167.16,0.4,2.0,4.0,2.0,70.42,1.0,12.0,0,low,low,low,low,high,,,1
CHEMBL103,CHEMBL103_KEY,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,314.47,4.72,0.0,2.0,1.0,34.14,0.0,23.0,0,high,medium,low,medium,high,,,1
